,title,price,description,colour,category
3010,lace trimmed sweater,29.99,"soft, fine knit sweater with lace at top. v neck front and back, dropped shoulders, and long sleeves. ribbing at neckline, cuffs, and hem. lace: polyamide 100%",black,outerwear
3011,short sweatshirt,17.99,"short sweatshirt in soft fabric with a round neckline. long sleeves with ribbed cuffs, small embroidery detail at front, and opening at back with ties. cotton 100%",black red green black rose,outerwear
3012,v neck wrapover blouse,17.99,"v neck blouse in woven viscose fabric with a wrapover front, wide ties at hem, and long sleeves with buttons at cuffs. viscose 100%",black white black white patterned,tops
3013,sweatshirt with printed design,24.99,"sweatshirt with a printed design. dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. soft, brushed inside. cotton 60%, polyester 40%",light gray melange black lt. gray melange mickey mouse,outerwear
3014,ribbed tank top,14.99,"tank top in soft, ribbed viscose blend fabric. viscose 70%, polyamide 30%",beige,tops
3015,cotton t shirt,4.99,t shirt in lightweight cotton jersey with a rounded hem. slightly longer at back. cotton 100%,black,tops
3016,knit mock turtleneck dress,19.99,"short dress in soft, fine knit fabric. ribbed mock turtleneck, long sleeves, and a flared skirt. viscose 70%, polyamide 30%",black,dress
3017,ribbed jersey top,14.99,"fitted top in ribbed, stretch cotton jersey with a round neckline and long sleeves. cotton 95%, elastane 5%",black,tops
3018,alpaca blend sweater vest,59.99,"premium quality. knit sweater vest in a soft alpaca wool blend with wool content. ribbing at neckline and hem. alpaca 50%, polyamide 33%, wool 15%, elastane 2%",dark pink,outerwear
3019,blouse with belt,29.99,"v neck blouse in woven viscose fabric. sewn wrapover at front with concealed snap fastener at neckline. long sleeves, concealed side zip, seam at waist, and gently flared peplum. matching belt in woven fabric with covered metal buckle. belt width 2 1/4 in. viscose 100%",black,tops
3020,patterned blouse,17.99,"blouse in woven viscose fabric with a printed pattern. v neck with inset lace detail at front. long, wide sleeves and narrow, elasticized cuffs with flounce. front: cotton 100%",white red green white roses,tops
3021,tie hem blouse,24.99,"v neck blouse in woven fabric. collar, buttons at front, and long sleeves with button at cuffs. tie detail at hem. viscose 100%",white white seersucker,tops
3022,sleeveless jumpsuit,17.99,"sleeveless jumpsuit in jersey with a low cut neckline at back. elasticized seam at waist, side pockets, and tapered legs. viscose 100%",dusky green,outerwear
3023,lace knit sweater,29.99,"soft, lace knit sweater with dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. acrylic 100%",gray,outerwear
3024,knee length skirt,34.99,"knee length skirt with decorative buttons at front. concealed zip at back. polyester 77%, viscose 21%, elastane 2%",black beige brown black houndstooth-patterned,skirts
3025,v neck sweater,24.99,"soft, fluffy, knit sweater with a v neck at front and back, long raglan sleeves, and ribbing at neckline, cuffs, and hem. acrylic 56%, polyamide 44%",red,outerwear
3026,long cardigan,34.99,"long cardigan in jersey with a soft, brushed finish. draped stand up collar and lapels. no buttons. polyester 96%, elastane 4%",gray melange,outerwear
3027,pile lined parka,59.99,"short, pile lined parka in woven cotton fabric with padded sleeves. stand up collar and pile lined hood with detachable faux fur trim. zip and wind flap at front with concealed snap fasteners, drawstring at waist and hem, and front pockets with flap, snap fastener. and concealed pocket underneath with snap fastener at top. elasticized tab at cuffs with concealed snap fastener. small back vent. lined. lining: polyester 100%",mustard yellow,outerwear
3028,v neck blouse,24.99,"wide cut blouse in airy, woven cotton fabric. v neck, 3/4 length sleeves with ties at cuffs, and rounded hem. longer at back. cotton 86%, linen 14%",white white checked,tops
3029,jersey pencil skirt,24.99,"knee length pencil skirt in stretch jersey. concealed zip at back and slit at hem. polyester 95%, elastane 5%",black,skirts
3030,short camisole top,2.99,"short, fitted camisole top in jersey with narrow shoulder straps. cotton 95%, elastane 5%",black,tops
3031,short chino shorts,9.99,"short shorts in woven fabric. zip fly with button, side pockets, and mock welt back pockets. cotton 98%, elastane 2%",khaki green,shorts
3032,ribbed sweater,24.99,"soft, rib knit sweater with a mock turtleneck. long sleeves with slit at cuffs. viscose 70%, polyamide 30%",black,outerwear
3033,fine knit sweater,19.99,"wide cut sweater in a soft, fine knit with wool content. dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",dark beige melange,outerwear
3034,faux leather shirt,34.99,"shirt in faux leather with a turn down collar. snap fasteners at front, yoke at front and back, and long sleeves with snap fastener at cuffs. rounded hem. coating: polyurethane 100%",black,tops
3035,fine knit cardigan,12.99,"soft, fine knit cardigan with a v neck, buttons at front, and long sleeves. ribbing at neckline, cuffs, and hem. viscose 70%, polyamide 30%",black,outerwear
3036,short off the shoulder blouse,17.99,"short, off the shoulder blouse in woven, crinkled viscose fabric. elastication at upper edge, decorative buttons at front, and short sleeves with narrow, elasticized cuffs. rounded hem. viscose 100%",white yellow blue white floral,tops
3037,peplum blouse,39.99,"blouse in woven fabric with a low cut v neck and wrapover front with concealed hook and eye fastener. gathers at shoulders, long puff sleeves, and wide cuffs with covered buttons. narrow, elasticized seam at waist and gently flared peplum. sleeves: elastane 100%",black,tops
3038,denim shorts,24.99,"short shorts in washed, stretch denim. regular waist, front and back pockets, and sewn, raw edge cuffs. relaxed fit. cotton 99%, elastane 1%",nan denim blue,shorts
3039,boxy denim jacket,34.99,"wide cut, boxy jacket in hard washed denim. collar, buttons at front, dropped shoulders, and long sleeves with buttons at cuffs. chest pockets with flap and button, side pockets, and adjustable tab at sides of hem with buttons. cotton 100%",pale denim blue,outerwear
3040,jersey dress,17.99,"short dress in slub jersey made from a modal and cotton blend. cap sleeves with sewn cuffs, narrow, elasticized seam at waist, and side pockets. gently flared skirt. cotton 50%, modal 50%",dark blue white dark blue white striped,dress
3041,sweatshirt with motif,17.99,"boxy sweatshirt with a motif at front. dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. soft, brushed inside. cotton 70%, polyester 25%, viscose 5%",gray melange dark yellow white black gray melange manhattan,outerwear
3042,puff sleeved blouse,24.99,"short blouse in airy woven viscose fabric with a printed pattern. sweetheart neckline, decorative covered buttons at front, and a wide, smocked section at back. long puff sleeves with elastication at shoulders and cuffs. viscose 100%",white red green white floral,tops
3043,pile jacket,59.99,"jacket in soft pile. collar, concealed snap fasteners at front, patch front pockets, dropped shoulders, and long sleeves. lined. polyester 100%",black,outerwear
3044,mom jeans,29.99,"5 pocket jeans in washed denim with a slightly looser fit. high waist, button fly, and straight legs. cotton 99%, elastane 1%",denim blue,jeans
3045,wide cut jersey pants,17.99,"calf length pants in airy viscose jersey with a high waist and straight, wide legs. viscose 100%",black,pants
3046,pleated wrap front skirt,34.99,"knee length, pleated skirt in jacquard weave fabric. high waist, sewn wrapover at front with asymmetric hem, and concealed side zip with button. unlined. polyester 92%, viscose 8%",beige dark blue red white beige plaid,skirts
3047,lightweight down jacket,49.99,"premium quality/conscious. fitted, lightweight jacket in nylon with a fill of 70% recycled down and 30% recycled feathers. small stand up collar folds in and secures with snap fastener to form a v neck. snap fasteners at front and side pockets. packs easily in included storage bag. size of storage bag: 4 x 8 1/2 in. lining: polyamide 100%",black,outerwear
3048,linen blend shorts,17.99,"shorts in a woven linen blend. elasticized drawstring waistband, side pockets, and two mock back pockets. short slits at hems. pocket lining: cotton 100%",dark brown,shorts
3049,v neck sweater,24.99,"wide cut, v neck sweater in a soft knit with wool content. dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. acrylic 76%, polyamide 22%, wool 2%",beige melange,outerwear
3050,blouse with tie collar,19.99,"straight cut, softly draped blouse in airy, textured knit jersey. stand up collar, cut out section at back, and ties at back of neck. long raglan balloon sleeves with narrow, concealed elastic at cuffs. polyester 95%, elastane 5%",black,tops
3051,jersey maxi dress,17.99,"long, sleeveless dress in slub jersey. slit at each side. cotton 50%, modal 50%",dark brown,dress
3052,blouse with pleated collar,34.99,"blouse in woven, crêped, discreetly textured fabric. pleated stand up collar, v neck with narrow ties at top, and long sleeves with buttons at cuffs. lined. lining: polyester 100%",cream,tops
3053,slacks,14.99,"ankle length slacks in woven stretch fabric with a regular waist. concealed side zip, mock back pockets, and tapered legs with slits at hems. cotton 61%, polyester 36%, elastane 3%",beige,pants
3054,knit sweater with beads,19.99,"knit sweater in a soft wool blend with decorations. heavily dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",gray melange silver-colored gray melange,outerwear
3055,denim shorts boyfriend,14.99,"5 pocket shorts in washed denim with heavily distressed details. low waist, button fly, and sewn cuffs at hems. cotton 100%",black denim,shorts
3056,boat neck jersey dress,29.99,"short, straight cut dress in soft jersey. boat neckline, 3/4 length sleeves, and side seam pockets. viscose 65%, polyester 30%, elastane 5%",red,dress
3057,v neck blouse,34.99,"v neck blouse in woven, crêped fabric with a gathered yoke at back. long sleeves with a slit and narrow cuffs with button. rounded hem. polyester 99%, elastane 1%",white,tops
3058,a line skirt,19.99,"short, a line skirt in faux leather with a high waist, concealed side zip, and patch pockets. lined. polyester 100%",black,skirts
3059,silk blend shorts,59.99,"premium quality/conscious. short shorts in airy fabric made from a tencel® lyocell and silk blend with a sheen. elasticized waistband and short slits at sides. lyocell 55%, silk 45%",black,shorts
3060,super skinny low jeans,19.99,"5 pocket, low rise jeans in washed superstretch denim with super skinny legs. zip fly with button. cotton 78%, polyester 20%, elastane 2%",dark denim blue dark denim blue washed,jeans
3061,hooded sweatshirt,17.99,"soft, long sleeved sweatshirt with a jersey lined drawstring hood, kangaroo pocket, and ribbing at cuffs and hem. soft, brushed inside. cotton 60%, polyester 40%",dusty rose,outerwear
3062,2 pack cotton t shirts,9.99,conscious. fitted t shirts in soft organic cotton jersey. cotton 100%,dark blue white dark blue striped,tops
