,title,price,brand,description,colour,category
650,stin shorts,32.00,Runway Bandits,"high-waisted denim shorts with frayed hem.
high waist
side slit
frayed hem
unlined
cotton blend",darkwash,shorts
651,eldora shirt,32.00,Runway Bandits,"short-sleeved shirt with half button placket.
half button placket
side slit on sleeves
unlined
cotton blend",navy,tops
652,emmi dress,42.00,Runway Bandits,the,rust,dress
653,wenzel shorts,36.00,Runway Bandits,the,black,shorts
654,orr shirt,34.00,Runway Bandits,a cropped short-sleeved button-down is always a good choice for days when you’re looking to dress a little on the masculine side. that’s where the,white,tops
655,wenzel shorts,36.00,Runway Bandits,the,olive,shorts
656,emmi dress,42.00,Runway Bandits,the,navy,dress
657,emmi dress,42.00,Runway Bandits,the,olive,dress
658,orr shirt,34.00,Runway Bandits,a cropped short-sleeved button-down is always a good choice for days when you’re looking to dress a little on the masculine side. that’s where the,navy,tops
659,emmi dress,42.00,Runway Bandits,the,black,dress
660,orr shirt,34.00,Runway Bandits,a cropped short-sleeved button-down is always a good choice for days when you’re looking to dress a little on the masculine side. that’s where the,shale green,tops
